5	-7.661070
18	-7.653820
27	-7.648780
30	-7.647010
31	-7.646170
61	-7.632930
88	-7.620320
89	-7.619560
97	-7.613840
100	-7.612980
111	-7.604500
114	-7.603630
115	-7.603390
120	-7.601470
124	-7.598300
157	-7.582700
172	-7.574790
182	-7.570490
204	-7.560920
206	-7.557990
212	-7.555700
215	-7.553110
218	-7.551820
219	-7.551800
221	-7.551390
223	-7.551210
230	-7.549710
231	-7.549630
236	-7.547530
252	-7.539950
265	-7.533820
272	-7.531700
281	-7.528060
282	-7.527550
283	-7.526610
286	-7.525850
287	-7.525290
290	-7.522860
291	-7.522660
295	-7.520850
300	-7.518140
301	-7.517830
306	-7.516400
309	-7.515560
313	-7.514400
314	-7.513670
331	-7.503270
335	-7.501320
339	-7.499820
346	-7.494990
348	-7.491060
359	-7.486820
364	-7.484470
369	-7.481890
370	-7.481880
371	-7.481790
386	-7.474810
396	-7.472320
397	-7.472320
401	-7.471250
411	-7.463550
412	-7.462540
434	-7.454210
435	-7.454190
437	-7.453070
446	-7.451500
449	-7.449240
451	-7.448460
453	-7.448330
454	-7.447860
461	-7.444250
468	-7.441050
473	-7.439320
475	-7.438610
477	-7.437890
481	-7.435400
484	-7.433730
487	-7.431360
489	-7.430490
490	-7.430030
501	-7.423080
506	-7.420630
519	-7.415440
521	-7.414590
531	-7.408000
534	-7.406750
555	-7.394460
557	-7.393330
560	-7.392730
561	-7.392440
566	-7.390320
575	-7.387910
581	-7.386150
582	-7.385750
587	-7.382590
592	-7.381320
594	-7.380860
598	-7.378870
602	-7.377430
607	-7.375810
608	-7.375520
623	-7.366480
625	-7.364960
627	-7.364830
633	-7.362290
634	-7.361510
638	-7.359090
641	-7.358110
645	-7.357190
646	-7.357010
649	-7.355090
654	-7.353840
667	-7.346890
668	-7.346830
670	-7.346140
672	-7.345450
679	-7.342150
684	-7.340760
689	-7.338410
692	-7.336600
694	-7.334900
695	-7.334850
697	-7.334040
698	-7.333540
705	-7.330910
713	-7.328940
720	-7.326060
727	-7.322360
728	-7.321570
731	-7.319500
733	-7.318970
744	-7.313870
745	-7.313610
746	-7.312400
749	-7.312280
751	-7.311680
752	-7.311450
756	-7.309830
766	-7.306760
774	-7.304220
789	-7.298160
805	-7.292230
814	-7.288170
818	-7.285190
822	-7.284970
823	-7.283200
824	-7.282560
827	-7.281210
829	-7.280800
831	-7.280410
834	-7.277810
839	-7.276010
840	-7.275330
841	-7.275270
842	-7.274960
844	-7.273900
855	-7.271370
856	-7.271350
858	-7.271090
861	-7.270880
864	-7.269960
868	-7.267940
869	-7.267860
875	-7.266590
878	-7.264520
881	-7.262570
893	-7.259400
894	-7.259360
897	-7.258990
904	-7.257060
907	-7.256830
908	-7.256610
912	-7.255700
914	-7.255410
915	-7.254970
917	-7.254220
929	-7.251860
933	-7.250890
934	-7.250060
935	-7.249820
936	-7.248880
939	-7.245420
941	-7.245110
945	-7.242840
949	-7.241450
950	-7.240910
951	-7.240810
952	-7.239870
957	-7.237980
959	-7.235840
960	-7.235830
962	-7.235660
967	-7.233850
972	-7.230950
982	-7.229050
987	-7.227240
995	-7.223280
996	-7.222890
999	-7.222300
1000	-7.221900
1001	-7.221520
1003	-7.221340
1004	-7.221310
1008	-7.220690
1011	-7.219600
1012	-7.219300
1013	-7.219270
1018	-7.217480
1023	-7.216350
1026	-7.214820
1029	-7.213560
1031	-7.212790
1032	-7.212090
1033	-7.211620
1035	-7.210480
1038	-7.210000
1042	-7.207050
1043	-7.207010
1045	-7.206480
1047	-7.206410
1049	-7.204930
1052	-7.203640
1053	-7.203250
1056	-7.201540
1059	-7.199060
1061	-7.198690
1071	-7.195660
1074	-7.194260
1075	-7.194090
1080	-7.192280
1081	-7.192180
1087	-7.189200
1091	-7.188640
1094	-7.187590
1096	-7.185190
1097	-7.184930
1099	-7.184320
1100	-7.184080
1101	-7.182690
1103	-7.182370
1111	-7.180430
1114	-7.180230
1119	-7.179680
1121	-7.179080
1130	-7.176420
1137	-7.172250
1138	-7.172110
1139	-7.171660
1142	-7.171130
1146	-7.168490
1149	-7.167200
1150	-7.166920
1151	-7.166400
1152	-7.166390
1153	-7.165370
1155	-7.164990
1158	-7.164500
1159	-7.164490
1160	-7.164260
1162	-7.162180
1164	-7.161860
1165	-7.161560
1166	-7.161350
1171	-7.159410
1177	-7.155820
1188	-7.151780
1192	-7.148250
1193	-7.147870
1196	-7.146970
1197	-7.146440
1198	-7.146260
1202	-7.145740
1205	-7.145070
1214	-7.142390
1216	-7.141890
1217	-7.141600
1218	-7.141220
1227	-7.139450
1231	-7.138680
1232	-7.138550
1233	-7.138530
1238	-7.136350
1243	-7.133810
1245	-7.133500
1246	-7.133500
1251	-7.131620
1253	-7.129480
1255	-7.129040
1256	-7.128800
1258	-7.128300
1259	-7.128040
1262	-7.127820
1268	-7.124000
1274	-7.120410
1277	-7.119740
1284	-7.118540
1285	-7.118370
1290	-7.116780
1291	-7.116650
1292	-7.116500
1294	-7.116320
1295	-7.115920
1298	-7.114540
1307	-7.111860
1310	-7.110240
1311	-7.110140
1312	-7.110070
1313	-7.109950
1315	-7.108390
1316	-7.107730
1317	-7.107250
1319	-7.106670
1321	-7.106330
1325	-7.105570
1332	-7.101670
1334	-7.101020
1336	-7.100810
1340	-7.099650
1341	-7.099470
1343	-7.099050
1345	-7.098130
1347	-7.097580
1348	-7.097490
1349	-7.097430
1353	-7.096830
1354	-7.096740
1358	-7.095610
1359	-7.095520
1361	-7.094220
1362	-7.094110
1367	-7.093460
1369	-7.092140
1371	-7.090760
